week,barrels_of_gasoline
05/27/2005,9461
05/20/2005,9443
05/13/2005,9269
05/6/2005,9175
04/29/2005,9024
04/22/2005,9306
04/15/2005,9170
04/8/2005,9089
04/1/2005,9095
03/25/2005,9075
03/18/2005,9069
03/11/2005,9131
03/4/2005,9014
02/25/2005,8884
02/18/2005,8898
02/11/2005,8825
02/4/2005,8837
01/28/2005,8848
01/21/2005,8881
01/14/2005,8695
01/7/2005,8710
12/31/2004,9287
12/24/2004,9329
12/17/2004,9068
12/10/2004,9268
12/3/2004,9107
11/26/2004,9204
11/19/2004,8988
11/12/2004,9237
11/5/2004,9217
10/29/2004,8977
10/22/2004,8883
10/15/2004,9177
10/8/2004,8917
10/1/2004,8915
09/24/2004,8922
09/17/2004,9005
09/10/2004,9234
09/3/2004,9453
08/27/2004,9267
08/20/2004,9424
08/13/2004,9521
08/6/2004,9472
07/30/2004,9263
07/23/2004,9310
07/16/2004,8840
07/9/2004,9300
07/2/2004,9398
06/25/2004,9199
06/18/2004,9194
06/11/2004,9219
06/4/2004,9045
05/28/2004,9259
05/21/2004,9154
05/14/2004,9119
05/7/2004,9373
04/30/2004,8926
04/23/2004,9255
04/16/2004,8973
04/9/2004,9338
04/2/2004,9249
03/26/2004,8731
03/19/2004,8818
03/12/2004,9044
03/5/2004,8968
02/27/2004,8970
02/20/2004,8796
02/13/2004,8727
02/6/2004,8627
01/30/2004,8514
01/23/2004,8543
01/16/2004,8426
01/9/2004,8411
01/2/2004,8686
12/26/2003,8726
12/19/2003,9166
12/12/2003,8930
12/5/2003,8776
11/28/2003,8979
11/21/2003,8725
11/14/2003,9232
11/7/2003,8995
10/31/2003,9316
10/24/2003,9413
10/17/2003,8754
10/10/2003,9156
10/3/2003,9190
09/26/2003,8690
09/19/2003,9166
09/12/2003,8974
09/5/2003,8886
08/29/2003,9337
08/22/2003,9668
08/15/2003,9325
08/8/2003,9381
08/1/2003,9303
07/25/2003,9563
07/18/2003,9177
07/11/2003,8763
07/4/2003,9050
06/27/2003,9476
06/20/2003,8833
06/13/2003,8880
06/6/2003,8529
05/30/2003,8516
05/23/2003,9299
05/16/2003,8992
05/9/2003,8894
05/2/2003,8834
04/25/2003,8358
04/18/2003,8737
04/11/2003,8640
04/4/2003,8458
03/28/2003,8284
03/21/2003,8666
03/14/2003,8596
03/7/2003,9020
02/28/2003,8421
02/21/2003,8619
02/14/2003,8454
02/7/2003,8106
01/31/2003,8551
01/24/2003,8793
01/17/2003,8645
01/10/2003,8335
01/3/2003,8411
12/27/2002,8989
12/20/2002,9063
12/13/2002,8854
12/6/2002,8616
11/29/2002,9060
11/22/2002,8667
11/15/2002,8540
11/8/2002,8759
11/1/2002,9324
10/25/2002,9022
10/18/2002,8653
10/11/2002,9090
10/4/2002,8895
09/27/2002,8582
09/20/2002,8625
09/13/2002,8899
09/6/2002,8844
08/30/2002,9135
08/23/2002,9173
08/16/2002,8939
08/9/2002,9270
08/2/2002,9297
07/26/2002,9093
07/19/2002,9056
07/12/2002,8985
07/5/2002,9004
06/28/2002,9172
06/21/2002,8752
06/14/2002,8771
06/7/2002,9004
05/31/2002,8778
05/24/2002,8685
05/17/2002,9190
05/10/2002,8548
05/3/2002,8521
04/26/2002,8699
04/19/2002,8684
04/12/2002,8840
04/5/2002,8865
03/29/2002,8386
03/22/2002,8621
03/15/2002,8713
03/8/2002,8277
03/1/2002,8782
02/22/2002,8729
02/15/2002,8428
02/8/2002,8117
02/1/2002,8223
01/25/2002,8184
01/18/2002,8049
01/11/2002,8359
01/4/2002,8288
12/28/2001,8860
12/21/2001,8888
12/14/2001,8622
12/7/2001,8327
11/30/2001,8517
11/23/2001,8868
11/16/2001,8612
11/9/2001,8771
11/2/2001,8797
10/26/2001,8702
10/19/2001,8619
10/12/2001,8766
10/5/2001,8500
09/28/2001,8514
09/21/2001,7834
09/14/2001,8969
09/7/2001,8529
08/31/2001,8612
08/24/2001,8943
08/17/2001,9035
08/10/2001,8671
08/3/2001,8959
07/27/2001,9007
07/20/2001,9176
07/13/2001,9095
07/6/2001,8622
06/29/2001,9036
06/22/2001,8921
06/15/2001,8393
06/8/2001,8428
06/1/2001,8809
05/25/2001,8270
05/18/2001,8917
05/11/2001,8275
05/4/2001,8665
04/27/2001,8404
04/20/2001,8708
04/13/2001,8438
04/6/2001,8306
03/30/2001,8507
03/23/2001,8475
03/16/2001,8484
03/9/2001,8425
03/2/2001,8489
02/23/2001,8187
02/16/2001,7850
02/9/2001,8032
02/2/2001,8589
01/26/2001,7338
01/19/2001,7894
01/12/2001,8225
01/5/2001,7825
12/29/2000,8693
12/22/2000,8400
12/15/2000,8475
12/8/2000,8711
12/1/2000,8233
11/24/2000,8063
11/17/2000,8419
11/10/2000,8216
11/3/2000,8780
10/27/2000,8942
10/20/2000,8604
10/13/2000,8663
10/6/2000,8340
09/29/2000,7819
09/22/2000,8153
09/15/2000,8814
09/8/2000,8573
09/1/2000,8644
08/25/2000,8960
08/18/2000,8786
08/11/2000,8813
08/4/2000,8759
07/28/2000,8614
07/21/2000,8361
07/14/2000,8844
07/7/2000,8519
06/30/2000,8620
06/23/2000,8475
06/16/2000,8895
