Month,Sales
1/1/1990,266
2/1/1990,145.9
3/1/1990,183.1
4/1/1990,119.3
5/1/1990,180.3
6/1/1990,168.5
7/1/1990,231.8
8/1/1990,224.5
9/1/1990,192.8
10/1/1990,122.9
11/1/1990,336.5
12/1/1990,185.9
1/1/1991,194.3
2/1/1991,149.5
3/1/1991,210.1
4/1/1991,273.3
5/1/1991,191.4
6/1/1991,287
7/1/1991,226
8/1/1991,303.6
9/1/1991,289.9
10/1/1991,421.6
11/1/1991,264.5
12/1/1991,342.3
1/1/1992,339.7
2/1/1992,440.4
3/1/1992,315.9
4/1/1992,439.3
5/1/1992,401.3
6/1/1992,437.4
7/1/1992,575.5
8/1/1992,407.6
9/1/1992,682
10/1/1992,475.3
11/1/1992,581.3
12/1/1992,646.9
