Month,Sunspots
1749-01-1,58
1749-02-1,62.6
1749-03-1,70
1749-04-1,55.7
1749-05-1,85
1749-06-1,83.5
1749-07-1,94.8
1749-08-1,66.3
1749-09-1,75.9
1749-10-1,75.5
1749-11-1,158.6
1749-12-1,85.2
1750-01-1,73.3
1750-02-1,75.9
1750-03-1,89.2
1750-04-1,88.3
1750-05-1,90
1750-06-1,100
1750-07-1,85.4
1750-08-1,103
1750-09-1,91.2
1750-10-1,65.7
1750-11-1,63.3
1750-12-1,75.4
1751-01-1,70
1751-02-1,43.5
1751-03-1,45.3
1751-04-1,56.4
1751-05-1,60.7
1751-06-1,50.7
1751-07-1,66.3
1751-08-1,59.8
1751-09-1,23.5
1751-10-1,23.2
1751-11-1,28.5
1751-12-1,44
1752-01-1,35
1752-02-1,50
1752-03-1,71
1752-04-1,59.3
1752-05-1,59.7
1752-06-1,39.6
1752-07-1,78.4
1752-08-1,29.3
1752-09-1,27.1
1752-10-1,46.6
1752-11-1,37.6
1752-12-1,40
1753-01-1,44
1753-02-1,32
1753-03-1,45.7
1753-04-1,38
1753-05-1,36
1753-06-1,31.7
1753-07-1,22.2
1753-08-1,39
1753-09-1,28
1753-10-1,25
1753-11-1,20
1753-12-1,6.7
1754-01-1,0
1754-02-1,3
1754-03-1,1.7
1754-04-1,13.7
1754-05-1,20.7
1754-06-1,26.7
1754-07-1,18.8
1754-08-1,12.3
1754-09-1,8.2
1754-10-1,24.1
1754-11-1,13.2
1754-12-1,4.2
1755-01-1,10.2
1755-02-1,11.2
1755-03-1,6.8
1755-04-1,6.5
1755-05-1,0
1755-06-1,0
1755-07-1,8.6
1755-08-1,3.2
1755-09-1,17.8
1755-10-1,23.7
1755-11-1,6.8
1755-12-1,20
1756-01-1,12.5
1756-02-1,7.1
1756-03-1,5.4
1756-04-1,9.4
1756-05-1,12.5
1756-06-1,12.9
1756-07-1,3.6
1756-08-1,6.4
1756-09-1,11.8
1756-10-1,14.3
1756-11-1,17
1756-12-1,9.4
1757-01-1,14.1
